Store,Date,Total_Produce_Sales
S0028,2012-09-01,170736.18
S0029,2012-09-01,274488.05
S0030,2012-09-01,229683.98
S0031,2012-09-01,203331.74
S0033,2012-09-01,341629.85
S0034,2012-09-01,334931.2
S0035,2012-09-01,150443.61
S0036,2012-09-01,179920.29
S0038,2012-09-01,184224.14
S0039,2012-09-01,140798.39
S0040,2012-09-01,410162.86
S0041,2012-09-01,169524.95
S0042,2012-09-01,308105.23
S0043,2012-09-01,246054.59
S0044,2012-09-01,323306.38
S0045,2012-09-01,408192.12
S0046,2012-09-01,420825.78
S0047,2012-09-01,379282.82
S0048,2012-09-01,318026.89
S0049,2012-09-01,224951.8
S0051,2012-09-01,268076.24
S0052,2012-09-01,547002.55
S0053,2012-09-01,240102.5
S0054,2012-09-01,488303.53
S0055,2012-09-01,329740.62
S0056,2012-09-01,228010.51
S0058,2012-09-01,245873.69
S0059,2012-09-01,298357.84
S0060,2012-09-01,266533.23
S0061,2012-09-01,375249.27
S0062,2012-09-01,275628.15
S0063,2012-09-01,268459.45
S0064,2012-09-01,238541.46
S0065,2012-09-01,328536.4
S0066,2012-09-01,265766.03
S0067,2012-09-01,236442.84
S0068,2012-09-01,391752.14
S0069,2012-09-01,308663.03
S0070,2012-09-01,305503.86
S0071,2012-09-01,351862.24
S0072,2012-09-01,340482.56
S0073,2012-09-01,354661.85
S0074,2012-09-01,180485.6
S0075,2012-09-01,285015.09
S0076,2012-09-01,214031.49
S0077,2012-09-01,260786.34
S0078,2012-09-01,216430.54
S0079,2012-09-01,204409.15
S0080,2012-09-01,101144.19
S0081,2012-09-01,165290.98
S0082,2012-09-01,353104.85
S0083,2012-09-01,203631.51
S0084,2012-09-01,195981.63
S0085,2012-09-01,218079.65
S0001,2012-10-01,177484.49
S0002,2012-10-01,141105.38
S0003,2012-10-01,313383.37
S0004,2012-10-01,256068.96
S0005,2012-10-01,311395.77
S0006,2012-10-01,267090.65
S0007,2012-10-01,294539.69
S0008,2012-10-01,286206.23
S0009,2012-10-01,298474.5
S0010,2012-10-01,222817.54
S0011,2012-10-01,163315.64
S0012,2012-10-01,373013.14
S0013,2012-10-01,279635.54
S0014,2012-10-01,294939.34
S0015,2012-10-01,254621.46
S0016,2012-10-01,179138.83
S0017,2012-10-01,317680.2
S0018,2012-10-01,238466.13
S0019,2012-10-01,235828.82
S0020,2012-10-01,208798.05
S0021,2012-10-01,254465.56
S0022,2012-10-01,197902.6
S0023,2012-10-01,168154.59
S0024,2012-10-01,198924.8
S0025,2012-10-01,284199.69
S0026,2012-10-01,213795.64
S0027,2012-10-01,293659.49
S0028,2012-10-01,173057.68
S0029,2012-10-01,268370.29
S0030,2012-10-01,215503.14
S0031,2012-10-01,206849.13
S0033,2012-10-01,334470.93
S0034,2012-10-01,314651.03
S0035,2012-10-01,152673.11
